tiempo_s;raw;delta;voltaje_mV;fuerza_N;;;;;;;;;;;;;;;
0.01;18050;-43;-0.001602;-0.006361;;;;;;;;;;;;;;;
0.023;18150;57;0.002123;0.008432;;;;;;;;;;;;;;;
0.036;18036;-57;-0.002123;-0.008432;;;;;;;;;;;;;;;
0.05;18063;-30;-0.001118;-0.004438;;;;;;;;;;;;;;;
0.063;18018;-75;-0.002794;-0.011095;;;;;;;;;;;;;;;
0.076;18049;-44;-0.001639;-0.006509;;;;;;;;;;;;;;;
0.09;17916;-177;-0.006594;-0.026185;;;;;;;;;;;;;;;
0.103;18084;-9;-0.000335;-0.001331;;;;;;;;;;;;;;;
0.116;18034;-59;-0.002198;-0.008728;;;;;;;;;;;;;;;
0.13;18042;-51;-0.0019;-0.007545;;;;;;;;;;;;;;;
0.143;18053;-40;-0.00149;-0.005917;;;;;;;;;;;;;;;
0.156;18057;-36;-0.001341;-0.005326;;;;;;;;;;;;;;;
0.169;18030;-63;-0.002347;-0.00932;;;;;;;;;;;;;;;
0.183;18099;6;0.000224;0.000888;;;;;;;;;;;;;;;
0.196;18005;-88;-0.003278;-0.013018;;;;;;;;;;;;;;;
0.209;17988;-105;-0.003912;-0.015533;;;;;;;;;;;;;;;
0.223;18113;20;0.000745;0.002959;;;;;;;;;;;;;;;
0.236;18020;-73;-0.002719;-0.010799;;;;;;;;;;;;;;;
0.249;17986;-107;-0.003986;-0.015829;;;;;;;;;;;;;;;
0.263;18055;-38;-0.001416;-0.005622;;;;;;;;;;;;;;;                                                                                     
0.276;18080;-13;-0.000484;-0.001923;;;;;;;;;;;;;;;
0.289;17982;-111;-0.004135;-0.016421;;;;;;;;;;;;;;;
0.303;18119;26;0.000969;0.003846;;;;;;;;;;;;;;;
0.316;18018;-75;-0.002794;-0.011095;;;;;;;;;;;;;;;
0.329;18025;-68;-0.002533;-0.01006;;;;;;;;;;;;;;;
0.343;17979;-114;-0.004247;-0.016865;;;;;;;;;;;;;;;
0.356;18118;25;0.000931;0.003698;;;;;;;;;;;;;;;
0.369;18037;-56;-0.002086;-0.008284;;;;;;;;;;;;;;;
0.382;18095;2;0.000075;0.000296;;;;;;;;;;;;;;;
0.396;18029;-64;-0.002384;-0.009468;;;;;;;;;;;;;;;
0.409;18017;-76;-0.002831;-0.011243;;;;;;;;;;;;;;;
0.422;18128;35;0.001304;0.005178;;;;;;;;;;;;;;;
0.436;18056;-37;-0.001378;-0.005474;;;;;;;;;;;;;;;
0.449;18073;-20;-0.000745;-0.002959;;;;;;;;;;;;;;;
0.462;18075;-18;-0.000671;-0.002663;;;;;;;;;;;;;;;
0.476;18122;29;0.00108;0.00429;;;;;;;;;;;;;;;
0.489;17930;-163;-0.006072;-0.024114;;;;;;;;;;;;;;;
0.502;18147;54;0.002012;0.007989;;;;;;;;;;;;;;;
0.516;18010;-83;-0.003092;-0.012279;;;;;;;;;;;;;;;
0.529;18071;-22;-0.00082;-0.003255;;;;;;;;;;;;;;;
0.542;18054;-39;-0.001453;-0.00577;;;;;;;;;;;;;;;
0.556;18056;-37;-0.001378;-0.005474;;;;;;;;;;;;;;;
0.569;18033;-60;-0.002235;-0.008876;;;;;;;;;;;;;;;
0.582;18069;-24;-0.000894;-0.00355;;;;;;;;;;;;;;;
0.596;18012;-81;-0.003017;-0.011983;;;;;;;;;;;;;;;
0.609;17959;-134;-0.004992;-0.019824;;;;;;;;;;;;;;;
0.622;18070;-23;-0.000857;-0.003403;;;;;;;;;;;;;;;
0.635;17980;-113;-0.00421;-0.016717;;;;;;;;;;;;;;;
0.649;18055;-38;-0.001416;-0.005622;;;;;;;;;;;;;;;
0.662;18028;-65;-0.002421;-0.009616;;;;;;;;;;;;;;;
0.675;18044;-49;-0.001825;-0.007249;;;;;;;;;;;;;;;
0.689;17958;-135;-0.005029;-0.019972;;;;;;;;;;;;;;;
0.702;18116;23;0.000857;0.003403;;;;;;;;;;;;;;;
0.715;18057;-36;-0.001341;-0.005326;;;;;;;;;;;;;;;
0.729;17972;-121;-0.004508;-0.0179;;;;;;;;;;;;;;;
0.742;17960;-133;-0.004955;-0.019676;;;;;;;;;;;;;;;
0.755;18067;-26;-0.000969;-0.003846;;;;;;;;;;;;;;;
0.769;18057;-36;-0.001341;-0.005326;;;;;;;;;;;;;;;
0.782;18071;-22;-0.00082;-0.003255;;;;;;;;;;;;;;;
0.795;18098;5;0.000186;0.00074;;;;;;;;;;;;;;;
0.808;18029;-64;-0.002384;-0.009468;;;;;;;;;;;;;;;
0.822;18118;25;0.000931;0.003698;;;;;;;;;;;;;;;
0.835;18025;-68;-0.002533;-0.01006;;;;;;;;;;;;;;;
0.848;18014;-79;-0.002943;-0.011687;;;;;;;;;;;;;;;
0.862;18035;-58;-0.002161;-0.00858;;;;;;;;;;;;;;;
0.875;18109;16;0.000596;0.002367;;;;;;;;;;;;;;;
0.888;18044;-49;-0.001825;-0.007249;;;;;;;;;;;;;;;
0.902;18073;-20;-0.000745;-0.002959;;;;;;;;;;;;;;;
0.915;18027;-66;-0.002459;-0.009764;;;;;;;;;;;;;;;
0.928;18068;-25;-0.000931;-0.003698;;;;;;;;;;;;;;;
0.942;18026;-67;-0.002496;-0.009912;;;;;;;;;;;;;;;
0.955;18140;47;0.001751;0.006953;;;;;;;;;;;;;;;
0.968;18041;-52;-0.001937;-0.007693;;;;;;;;;;;;;;;
0.981;18120;27;0.001006;0.003994;;;;;;;;;;;;;;;
0.995;17963;-130;-0.004843;-0.019232;;;;;;;;;;;;;;;
1.008;18010;-83;-0.003092;-0.012279;;;;;;;;;;;;;;;
1.021;18125;32;0.001192;0.004734;;;;;;;;;;;;;;;
1.035;18083;-10;-0.000373;-0.001479;;;;;;;;;;;;;;;
1.048;17995;-98;-0.003651;-0.014498;;;;;;;;;;;;;;;
1.061;18118;25;0.000931;0.003698;;;;;;;;;;;;;;;
1.075;18080;-13;-0.000484;-0.001923;;;;;;;;;;;;;;;
1.088;18025;-68;-0.002533;-0.01006;;;;;;;;;;;;;;;
1.101;18083;-10;-0.000373;-0.001479;;;;;;;;;;;;;;;
1.115;17997;-96;-0.003576;-0.014202;;;;;;;;;;;;;;;
1.128;18109;16;0.000596;0.002367;;;;;;;;;;;;;;;
1.141;18051;-42;-0.001565;-0.006213;;;;;;;;;;;;;;;
1.155;18079;-14;-0.000522;-0.002071;;;;;;;;;;;;;;;
1.168;17990;-103;-0.003837;-0.015238;;;;;;;;;;;;;;;
1.181;18045;-48;-0.001788;-0.007101;;;;;;;;;;;;;;;
1.194;18036;-57;-0.002123;-0.008432;;;;;;;;;;;;;;;
1.208;18047;-46;-0.001714;-0.006805;;;;;;;;;;;;;;;
1.221;18102;9;0.000335;0.001331;;;;;;;;;;;;;;;
1.234;18050;-43;-0.001602;-0.006361;;;;;;;;;;;;;;;
1.248;17992;-101;-0.003763;-0.014942;;;;;;;;;;;;;;;
1.261;18059;-34;-0.001267;-0.00503;;;;;;;;;;;;;;;
1.274;18091;-2;-0.000075;-0.000296;;;;;;;;;;;;;;;
1.288;18064;-29;-0.00108;-0.00429;;;;;;;;;;;;;;;
1.301;18111;18;0.000671;0.002663;;;;;;;;;;;;;;;
1.314;18092;-1;-0.000037;-0.000148;;;;;;;;;;;;;;;
1.328;18136;43;0.001602;0.006361;;;;;;;;;;;;;;;
1.341;18051;-42;-0.001565;-0.006213;;;;;;;;;;;;;;;
1.354;18089;-4;-0.000149;-0.000592;;;;;;;;;;;;;;;
1.367;18020;-73;-0.002719;-0.010799;;;;;;;;;;;;;;;
1.381;18033;-60;-0.002235;-0.008876;;;;;;;;;;;;;;;
1.394;18100;7;0.000261;0.001036;;;;;;;;;;;;;;;
1.407;18043;-50;-0.001863;-0.007397;;;;;;;;;;;;;;;
1.421;18078;-15;-0.000559;-0.002219;;;;;;;;;;;;;;;
1.434;18123;30;0.001118;0.004438;;;;;;;;;;;;;;;
1.447;17987;-106;-0.003949;-0.015681;;;;;;;;;;;;;;;
1.461;18055;-38;-0.001416;-0.005622;;;;;;;;;;;;;;;
1.474;18132;39;0.001453;0.00577;;;;;;;;;;;;;;;
1.487;18032;-61;-0.002272;-0.009024;;;;;;;;;;;;;;;
1.501;18029;-64;-0.002384;-0.009468;;;;;;;;;;;;;;;
1.514;18107;14;0.000522;0.002071;;;;;;;;;;;;;;;
1.527;18012;-81;-0.003017;-0.011983;;;;;;;;;;;;;;;
1.541;17982;-111;-0.004135;-0.016421;;;;;;;;;;;;;;;
1.554;18137;44;0.001639;0.006509;;;;;;;;;;;;;;;
1.567;17998;-95;-0.003539;-0.014054;;;;;;;;;;;;;;;
1.581;18067;-26;-0.000969;-0.003846;;;;;;;;;;;;;;;
1.594;18034;-59;-0.002198;-0.008728;;;;;;;;;;;;;;;
1.607;18019;-74;-0.002757;-0.010947;;;;;;;;;;;;;;;
1.62;18058;-35;-0.001304;-0.005178;;;;;;;;;;;;;;;
1.634;18102;9;0.000335;0.001331;;;;;;;;;;;;;;;
1.647;18010;-83;-0.003092;-0.012279;;;;;;;;;;;;;;;
1.66;18066;-27;-0.001006;-0.003994;;;;;;;;;;;;;;;
1.674;18084;-9;-0.000335;-0.001331;;;;;;;;;;;;;;;
1.687;18091;-2;-0.000075;-0.000296;;;;;;;;;;;;;;;
1.7;17966;-127;-0.004731;-0.018788;;;;;;;;;;;;;;;
1.714;18035;-58;-0.002161;-0.00858;;;;;;;;;;;;;;;
1.727;18097;4;0.000149;0.000592;;;;;;;;;;;;;;;
1.74;17956;-137;-0.005104;-0.020267;;;;;;;;;;;;;;;
1.754;18125;32;0.001192;0.004734;;;;;;;;;;;;;;;
1.767;17928;-165;-0.006147;-0.02441;;;;;;;;;;;;;;;
1.78;17985;-108;-0.004023;-0.015977;;;;;;;;;;;;;;;
1.794;18010;-83;-0.003092;-0.012279;;;;;;;;;;;;;;;
1.807;18058;-35;-0.001304;-0.005178;;;;;;;;;;;;;;;
1.82;18053;-40;-0.00149;-0.005917;;;;;;;;;;;;;;;
1.833;18040;-53;-0.001974;-0.007841;;;;;;;;;;;;;;;
1.847;17967;-126;-0.004694;-0.01864;;;;;;;;;;;;;;;
1.86;17996;-97;-0.003614;-0.01435;;;;;;;;;;;;;;;
1.873;18115;22;0.00082;0.003255;;;;;;;;;;;;;;;
1.887;18053;-40;-0.00149;-0.005917;;;;;;;;;;;;;;;
1.9;18032;-61;-0.002272;-0.009024;;;;;;;;;;;;;;;
1.913;17984;-109;-0.004061;-0.016125;;;;;;;;;;;;;;;
1.927;18084;-9;-0.000335;-0.001331;;;;;;;;;;;;;;;
1.94;17988;-105;-0.003912;-0.015533;;;;;;;;;;;;;;;
1.953;18136;43;0.001602;0.006361;;;;;;;;;;;;;;;
1.967;18027;-66;-0.002459;-0.009764;;;;;;;;;;;;;;;
1.98;18060;-33;-0.001229;-0.004882;;;;;;;;;;;;;;;
1.993;18043;-50;-0.001863;-0.007397;;;;;;;;;;;;;;;
2.006;18088;-5;-0.000186;-0.00074;;;;;;;;;;;;;;;
2.02;18042;-51;-0.0019;-0.007545;;;;;;;;;;;;;;;
2.033;18085;-8;-0.000298;-0.001183;;;;;;;;;;;;;;;
2.046;18019;-74;-0.002757;-0.010947;;;;;;;;;;;;;;;
2.06;18047;-46;-0.001714;-0.006805;;;;;;;;;;;;;;;
2.073;18158;65;0.002421;0.009616;;;;;;;;;;;;;;;
2.086;18055;-38;-0.001416;-0.005622;;;;;;;;;;;;;;;
2.1;17994;-99;-0.003688;-0.014646;;;;;;;;;;;;;;;
2.113;18019;-74;-0.002757;-0.010947;;;;;;;;;;;;;;;
2.126;18040;-53;-0.001974;-0.007841;;;;;;;;;;;;;;;
2.14;18009;-84;-0.003129;-0.012427;;;;;;;;;;;;;;;
2.153;18144;51;0.0019;0.007545;;;;;;;;;;;;;;;
2.166;18008;-85;-0.003166;-0.012575;;;;;;;;;;;;;;;
2.179;17993;-100;-0.003725;-0.014794;;;;;;;;;;;;;;;
2.193;18049;-44;-0.001639;-0.006509;;;;;;;;;;;;;;;
2.206;18122;29;0.00108;0.00429;;;;;;;;;;;;;;;
2.219;18033;-60;-0.002235;-0.008876;;;;;;;;;;;;;;;
2.233;18093;0;0;0;;;;;;;;;;;;;;;
2.246;18007;-86;-0.003204;-0.012723;;;;;;;;;;;;;;;
2.259;17976;-117;-0.004359;-0.017309;;;;;;;;;;;;;;;
2.273;18235;142;0.00529;0.021007;;;;;;;;;;;;;;;
2.286;18264;171;0.00637;0.025297;;;;;;;;;;;;;;;
2.299;18128;35;0.001304;0.005178;;;;;;;;;;;;;;;
2.313;18152;59;0.002198;0.008728;;;;;;;;;;;;;;;
2.326;18271;178;0.006631;0.026333;;;;;;;;;;;;;;;
2.339;18190;97;0.003614;0.01435;;;;;;;;;;;;;;;
2.353;18590;497;0.018515;0.073525;;;;;;;;;;;;;;;
2.366;18598;505;0.018813;0.074708;;;;;;;;;;;;;;;
2.379;18395;302;0.01125;0.044677;;;;;;;;;;;;;;;
2.392;18667;574;0.021383;0.084916;;;;;;;;;;;;;;;
2.406;19084;991;0.036918;0.146606;;;;;;;;;;;;;;;
2.419;19080;987;0.036769;0.146014;;;;;;;;;;;;;;;
2.432;19032;939;0.03498;0.138913;;;;;;;;;;;;;;;
2.446;19125;1032;0.038445;0.152671;;;;;;;;;;;;;;;
2.459;19334;1241;0.046231;0.18359;;;;;;;;;;;;;;;
2.472;19453;1360;0.050664;0.201194;;;;;;;;;;;;;;;
2.486;19459;1366;0.050887;0.202082;;;;;;;;;;;;;;;
2.499;19639;1546;0.057593;0.228711;;;;;;;;;;;;;;;
2.512;19766;1673;0.062324;0.247499;;;;;;;;;;;;;;;
2.526;19847;1754;0.065342;0.259482;;;;;;;;;;;;;;;
2.539;19872;1779;0.066273;0.26318;;;;;;;;;;;;;;;
2.552;20003;1910;0.071153;0.28256;;;;;;;;;;;;;;;
2.565;19894;1801;0.067092;0.266435;;;;;;;;;;;;;;;
2.579;20022;1929;0.071861;0.285371;;;;;;;;;;;;;;;
2.592;20040;1947;0.072531;0.288034;;;;;;;;;;;;;;;
2.605;20014;1921;0.071563;0.284187;;;;;;;;;;;;;;;
2.619;20059;1966;0.073239;0.290844;;;;;;;;;;;;;;;
2.632;20085;1992;0.074208;0.294691;;;;;;;;;;;;;;;
2.645;19963;1870;0.069663;0.276642;;;;;;;;;;;;;;;
2.659;20183;2090;0.077859;0.309189;;;;;;;;;;;;;;;
2.672;20013;1920;0.071526;0.284039;;;;;;;;;;;;;;;
2.685;19976;1883;0.070147;0.278566;;;;;;;;;;;;;;;
2.698;20045;1952;0.072718;0.288773;;;;;;;;;;;;;;;
2.712;20028;1935;0.072084;0.286258;;;;;;;;;;;;;;;
2.725;20077;1984;0.07391;0.293507;;;;;;;;;;;;;;;
2.738;20028;1935;0.072084;0.286258;;;;;;;;;;;;;;;
2.752;20116;2023;0.075363;0.299277;;;;;;;;;;;;;;;
2.765;20014;1921;0.071563;0.284187;;;;;;;;;;;;;;;
2.778;20044;1951;0.07268;0.288625;;;;;;;;;;;;;;;
2.792;20049;1956;0.072867;0.289365;;;;;;;;;;;;;;;
2.805;19990;1897;0.070669;0.280637;;;;;;;;;;;;;;;
2.818;19750;1657;0.061728;0.245132;;;;;;;;;;;;;;;
2.832;20087;1994;0.074282;0.294987;;;;;;;;;;;;;;;
2.845;20018;1925;0.071712;0.284779;;;;;;;;;;;;;;;
2.858;20054;1961;0.073053;0.290105;;;;;;;;;;;;;;;
2.871;20113;2020;0.075251;0.298833;;;;;;;;;;;;;;;
2.885;20054;1961;0.073053;0.290105;;;;;;;;;;;;;;;
2.898;20045;1952;0.072718;0.288773;;;;;;;;;;;;;;;
2.911;20010;1917;0.071414;0.283595;;;;;;;;;;;;;;;
2.925;20091;1998;0.074431;0.295578;;;;;;;;;;;;;;;
2.938;20089;1996;0.074357;0.295282;;;;;;;;;;;;;;;
2.951;20135;2042;0.07607;0.302088;;;;;;;;;;;;;;;
2.965;19983;1890;0.070408;0.279601;;;;;;;;;;;;;;;
2.978;20044;1951;0.07268;0.288625;;;;;;;;;;;;;;;
2.991;20039;1946;0.072494;0.287886;;;;;;;;;;;;;;;
3.005;20001;1908;0.071079;0.282264;;;;;;;;;;;;;;;
3.018;19998;1905;0.070967;0.28182;;;;;;;;;;;;;;;
3.031;20067;1974;0.073537;0.292028;;;;;;;;;;;;;;;
3.045;20030;1937;0.072159;0.286554;;;;;;;;;;;;;;;
3.063;19962;1869;0.069626;0.276494;;;;;;;;;;;;;;;
3.081;19995;1902;0.070855;0.281376;;;;;;;;;;;;;;;
3.099;19999;1906;0.071004;0.281968;;;;;;;;;;;;;;;
3.118;19986;1893;0.07052;0.280045;;;;;;;;;;;;;;;
3.136;19960;1867;0.069551;0.276199;;;;;;;;;;;;;;;
3.154;20013;1920;0.071526;0.284039;;;;;;;;;;;;;;;
3.172;20038;1945;0.072457;0.287738;;;;;;;;;;;;;;;
3.191;20150;2057;0.076629;0.304307;;;;;;;;;;;;;;;
3.209;20033;1940;0.072271;0.286998;;;;;;;;;;;;;;;
3.227;20051;1958;0.072941;0.289661;;;;;;;;;;;;;;;
3.245;19976;1883;0.070147;0.278566;;;;;;;;;;;;;;;
3.263;19976;1883;0.070147;0.278566;;;;;;;;;;;;;;;
3.282;19947;1854;0.069067;0.274275;;;;;;;;;;;;;;;
3.3;19980;1887;0.070296;0.279157;;;;;;;;;;;;;;;
3.318;19978;1885;0.070222;0.278861;;;;;;;;;;;;;;;
3.336;20029;1936;0.072122;0.286406;;;;;;;;;;;;;;;
3.355;20043;1950;0.072643;0.288477;;;;;;;;;;;;;;;
3.373;20026;1933;0.07201;0.285962;;;;;;;;;;;;;;;
3.391;19981;1888;0.070333;0.279305;;;;;;;;;;;;;;;
3.409;19987;1894;0.070557;0.280193;;;;;;;;;;;;;;;
3.428;20086;1993;0.074245;0.294839;;;;;;;;;;;;;;;
3.446;20046;1953;0.072755;0.288921;;;;;;;;;;;;;;;
3.464;19981;1888;0.070333;0.279305;;;;;;;;;;;;;;;
3.482;20005;1912;0.071228;0.282856;;;;;;;;;;;;;;;
3.501;20032;1939;0.072233;0.28685;;;;;;;;;;;;;;;
3.519;20018;1925;0.071712;0.284779;;;;;;;;;;;;;;;
3.537;20083;1990;0.074133;0.294395;;;;;;;;;;;;;;;
3.555;20077;1984;0.07391;0.293507;;;;;;;;;;;;;;;
3.574;19999;1906;0.071004;0.281968;;;;;;;;;;;;;;;
3.592;19966;1873;0.069775;0.277086;;;;;;;;;;;;;;;
3.61;20195;2102;0.078306;0.310964;;;;;;;;;;;;;;;
3.628;20109;2016;0.075102;0.298241;;;;;;;;;;;;;;;
3.647;20030;1937;0.072159;0.286554;;;;;;;;;;;;;;;
3.665;19929;1836;0.068396;0.271613;;;;;;;;;;;;;;;
3.683;19993;1900;0.070781;0.281081;;;;;;;;;;;;;;;
3.702;19975;1882;0.07011;0.278418;;;;;;;;;;;;;;;
3.72;20015;1922;0.0716;0.284335;;;;;;;;;;;;;;;
3.738;20048;1955;0.072829;0.289217;;;;;;;;;;;;;;;
3.756;20096;2003;0.074618;0.296318;;;;;;;;;;;;;;;
3.775;20047;1954;0.072792;0.289069;;;;;;;;;;;;;;;
3.793;20030;1937;0.072159;0.286554;;;;;;;;;;;;;;;
3.811;19985;1892;0.070483;0.279897;;;;;;;;;;;;;;;
3.829;20040;1947;0.072531;0.288034;;;;;;;;;;;;;;;
3.848;20004;1911;0.07119;0.282708;;;;;;;;;;;;;;;
3.866;20055;1962;0.07309;0.290253;;;;;;;;;;;;;;;
3.884;20016;1923;0.071637;0.284483;;;;;;;;;;;;;;;
3.902;20018;1925;0.071712;0.284779;;;;;;;;;;;;;;;
3.92;19991;1898;0.070706;0.280785;;;;;;;;;;;;;;;
3.939;20065;1972;0.073463;0.291732;;;;;;;;;;;;;;;
3.957;20080;1987;0.074022;0.293951;;;;;;;;;;;;;;;
3.975;19992;1899;0.070743;0.280933;;;;;;;;;;;;;;;
3.993;19987;1894;0.070557;0.280193;;;;;;;;;;;;;;;
4.012;19955;1862;0.069365;0.275459;;;;;;;;;;;;;;;
4.03;20033;1940;0.072271;0.286998;;;;;;;;;;;;;;;
4.048;20010;1917;0.071414;0.283595;;;;;;;;;;;;;;;
4.066;20028;1935;0.072084;0.286258;;;;;;;;;;;;;;;
4.085;19973;1880;0.070035;0.278122;;;;;;;;;;;;;;;
4.103;19988;1895;0.070594;0.280341;;;;;;;;;;;;;;;
4.121;20041;1948;0.072569;0.288182;;;;;;;;;;;;;;;
4.139;20197;2104;0.07838;0.31126;;;;;;;;;;;;;;;
4.158;20139;2046;0.076219;0.302679;;;;;;;;;;;;;;;
4.176;20065;1972;0.073463;0.291732;;;;;;;;;;;;;;;
4.194;19953;1860;0.06929;0.275163;;;;;;;;;;;;;;;
4.212;19978;1885;0.070222;0.278861;;;;;;;;;;;;;;;
4.231;20003;1910;0.071153;0.28256;;;;;;;;;;;;;;;
4.249;19975;1882;0.07011;0.278418;;;;;;;;;;;;;;;
4.267;20049;1956;0.072867;0.289365;;;;;;;;;;;;;;;
